"Series Description","Nonfinancial corporate business; corporate profits before tax excluding IVA and CCAdj","Nonfinancial corporate business; taxes on corporate income","Nonfinancial corporate business; net dividends paid","Nonfinancial corporate business; inventory valuation adjustment (IVA)","Nonfinancial corporate business; capital consumption allowance","Nonfinancial corporate business; foreign earnings retained abroad","Nonfinancial corporate business; net capital transfers paid ","Nonfinancial corporate business; gross saving including foreign earnings retained abroad less net capital transfers paid","Nonfinancial corporate business; gross investment","Nonfinancial corporate business; total capital expenditures","Nonfinancial corporate business; gross fixed investment","Nonfinancial corporate business; inventories including IVA ","Nonfinancial corporate business; acquisition of nonproduced nonfinancial assets (net)","Nonfinancial corporate business; net lending (+) or borrowing (-) (financial account)","Nonfinancial corporate business; total financial assets","Nonfinancial corporate business; private foreign deposits; asset","Nonfinancial corporate business; checkable deposits and currency; asset","Nonfinancial corporate business; total time and savings deposits; asset","Nonfinancial corporate business; money market fund shares; asset","Nonfinancial corporate business; security repurchase agreements; asset","Nonfinancial corporate business; debt securities; asset","Nonfinancial corporate business; commercial paper; asset","Nonfinancial corporate business; Treasury securities; asset","Nonfinancial corporate business; agency- and GSE-backed securities; asset","Nonfinancial corporate business; municipal securities; asset","Nonfinancial corporate business; loans; asset","Nonfinancial corporate business; total mortgages; asset","Nonfinancial corporate business; consumer credit; asset","Nonfinancial corporate business; corporate equities; asset","Nonfinancial corporate business; mutual fund shares; asset","Nonfinancial corporate business; trade receivables, including Paycheck Protection Program subsidies receivable; asset","Nonfinancial corporate business; U.S. direct investment abroad (market value); asset","Nonfinancial corporate business; total miscellaneous assets","Nonfinancial corporate business; total liabilities and equity","Nonfinancial corporate business; debt securities; liability","Nonfinancial corporate business; commercial paper; liability","Nonfinancial corporate business; municipal securities; liability","Nonfinancial corporate business; corporate bonds; liability","Nonfinancial corporate business; loans; liability","Nonfinancial corporate business; depository institution loans n.e.c.; liability","Nonfinancial corporate business; other loans and advances; liability","Nonfinancial corporate business; total mortgages; liability","Nonfinancial corporate business; corporate equities; liability","Nonfinancial corporate business; trade payables; liability","Nonfinancial corporate business; total taxes payable; liability","Nonfinancial corporate business; foreign direct investment in U.S. (market value); liability","Nonfinancial corporate business; total miscellaneous liabilities","Private pension funds; pension fund contributions receivable; asset","Private defined benefit pension funds; claims of pension fund on sponsor; asset","Nonfinancial corporate business; unidentified miscellaneous liabilities","Nonfinancial corporate business; sector discrepancy","Nonfinancial corporate business; difference between capital expenditures and gross savings less net capital transfers paid, excluding foreign earnings retained abroad (financing gap)"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","Z1/Z1/FA106060005.A","Z1/Z1/FA106231005.A","Z1/Z1/FA106121075.A","Z1/Z1/FA105020601.A","Z1/Z1/FA106300015.A","Z1/Z1/FA106006065.A","Z1/Z1/FA105440005.A","Z1/Z1/FA106000105.A","Z1/Z1/FA105090005.A","Z1/Z1/FA105050005.A","Z1/Z1/FA105019005.A","Z1/Z1/FA105020005.A","Z1/Z1/FA105420005.A","Z1/Z1/FA105000005.A","Z1/Z1/FA104090005.A","Z1/Z1/FA103091003.A","Z1/Z1/FA103020000.A","Z1/Z1/FA103030003.A","Z1/Z1/FA103034000.A","Z1/Z1/FA102051003.A","Z1/Z1/FA104022005.A","Z1/Z1/FA103069100.A","Z1/Z1/FA103061103.A","Z1/Z1/FA103061703.A","Z1/Z1/FA103062003.A","Z1/Z1/FA104023005.A","Z1/Z1/FA103065003.A","Z1/Z1/FA103066005.A","Z1/Z1/FA103064103.A","Z1/Z1/FA103064203.A","Z1/Z1/FA103070005.A","Z1/Z1/FA103092005.A","Z1/Z1/FA103090005.A","Z1/Z1/FA104194005.A","Z1/Z1/FA104122005.A","Z1/Z1/FA103169100.A","Z1/Z1/FA103162000.A","Z1/Z1/FA103163003.A","Z1/Z1/FA104123005.A","Z1/Z1/FA103168005.A","Z1/Z1/FA103169005.A","Z1/Z1/FA103165005.A","Z1/Z1/FA103164103.A","Z1/Z1/FA103170005.A","Z1/Z1/FA103178005.A","Z1/Z1/FA103192005.A","Z1/Z1/FA103190005.A","Z1/Z1/FA573074005.A","Z1/Z1/FA573073005.A","Z1/Z1/FA103193005.A","Z1/Z1/FA107005005.A","Z1/Z1/FA105005305.A"
"Time Period","FA106060005.A","FA106231005.A","FA106121075.A","FA105020601.A","FA106300015.A","FA106006065.A","FA105440005.A","FA106000105.A","FA105090005.A","FA105050005.A","FA105019005.A","FA105020005.A","FA105420005.A","FA105000005.A","FA104090005.A","FA103091003.A","FA103020000.A","FA103030003.A","FA103034000.A","FA102051003.A","FA104022005.A","FA103069100.A","FA103061103.A","FA103061703.A","FA103062003.A","FA104023005.A","FA103065003.A","FA103066005.A","FA103064103.A","FA103064203.A","FA103070005.A","FA103092005.A","FA103090005.A","FA104194005.A","FA104122005.A","FA103169100.A","FA103162000.A","FA103163003.A","FA104123005.A","FA103168005.A","FA103169005.A","FA103165005.A","FA103164103.A","FA103170005.A","FA103178005.A","FA103192005.A","FA103190005.A","FA573074005.A","FA573073005.A","FA103193005.A","FA107005005.A","FA105005305.A"
1950,39202,16764,7375,-4965,10346,275,0,20719,15907,24225,18934,5560,-269,-8318,16784,47,1319,0,0,0,3218,-122,3173,0,167,1113,-1,1114,0,0,9943,585,559,25102,1669,45,0,1624,4379,3688,238,453,1288,7973,7255,70,2468,0,844,1624,4812,3781
1951,39909,21104,7042,-1199,11937,563,0,23064,5245,30962,22748,8486,-272,-25717,8027,34,1637,0,0,0,922,-53,783,0,192,627,3,624,0,0,3381,465,961,33744,3356,62,0,3294,5073,4209,269,595,2107,-378,4476,77,19033,0,3695,15338,17819,8461
1952,34978,17677,7053,981,13275,764,0,25268,27791,26161,24356,2056,-252,1630,5418,-16,782,0,0,0,-932,105,-1006,0,-31,-160,4,-164,0,0,3902,810,1032,3788,4767,62,0,4705,1460,796,432,233,2320,761,-3156,98,-2462,160,2392,-5014,-2523,1657
1953,36505,18369,7243,-997,15160,641,0,25696,28440,27724,26874,1179,-329,716,3037,39,-91,0,0,0,1794,9,1593,0,192,260,2,258,0,0,-845,678,1202,2321,3586,71,0,3515,267,-562,152,677,1766,-277,605,106,-3732,31,3307,-7069,-2744,2668
1954,33717,15528,7357,-318,17001,524,0,28039,-24212,24224,26616,-2026,-366,-48436,5498,44,1779,200,0,0,-1663,87,-1717,0,-33,346,1,345,0,0,3385,599,808,53934,3664,129,0,3535,-71,-655,89,495,1583,2032,-3219,72,49873,33,2187,47653,52251,-3291
1955,43753,20115,8415,-1736,19634,749,-8,33878,-20027,33973,29329,5260,-616,-54000,17382,-29,953,-100,0,0,4231,-74,3758,300,247,698,14,684,0,0,9603,743,1283,71382,2848,-169,0,3017,5628,3901,168,1559,1719,9042,3663,136,48346,71,1846,46430,53904,844
1956,44125,19919,9007,-2693,21361,974,-18,34859,8229,39576,35616,4642,-682,-31347,5031,9,-292,0,0,0,-4252,88,-4563,100,123,434,7,427,0,0,5682,1860,1590,36378,3492,16,0,3476,6253,5084,238,931,2250,4118,-1676,183,21758,44,2131,19583,26630,5691
1957,42101,18981,9226,-1539,23539,1167,-24,37085,56285,38464,38516,653,-705,17821,4561,-7,34,0,0,0,-462,130,-1129,400,137,41,18,23,0,0,1627,2337,991,-13260,6076,44,0,6032,3592,1222,1060,1310,2441,1586,-2133,133,-24955,39,4060,-29054,-19200,2546
1958,36056,16064,9115,-255,24913,762,-29,36325,-46198,30729,33669,-2164,-776,-76927,11530,18,1059,900,0,0,557,-225,503,-200,479,165,15,150,0,0,6404,1085,1342,88457,5879,236,0,5643,1456,-320,29,1747,1968,4232,-2595,86,77431,91,2029,75311,82523,-4834
1959,45628,20682,9816,-277,26840,826,-49,42569,2114,41260,37194,5155,-1089,-39146,15099,-17,-887,-400,0,0,6497,532,5529,600,-164,1232,-66,1298,0,0,5546,1263,1865,54245,2736,-343,0,3079,5846,3623,1331,892,2078,5290,2124,199,35972,78,2737,33157,40455,-483
