"Country","Year","Debt","GDP1","GDP2","RGDP","dRGDP","Infl","debtgdp"
"Greece","1833","","49.3275923134","","118.34837","","",""
"Greece","1834","","60.1114086739","","127.11224","","",""
"Greece","1835","","76.0383588583","","167.60378","","",""
"Greece","1836","","64.8736315358","","163.59036","","",""
"Greece","1837","","71.1309001183","","169.22393","","",""
"Greece","1838","","76.5614637346","","179.67967","","",""
"Greece","1839","","82.1589436919","","178.27433","","",""
"Greece","1840","","90.5113744901","","176.01582","","",""
"Greece","1841","","81.5243026843","","176.84831","","",""
"Greece","1842","","72.050835253","","178.99701","","",""
"Greece","1843","","70.3047397258","","161.97396","","",""
"Greece","1844","","72.2865098935","","159.62094","","",""
"Greece","1845","","72.5552902429","","158.69464","","",""
"Greece","1846","","77.3109846452","","175.55505","","",""
"Greece","1847","","70.2022317364","","150.95367","","",""
"Greece","1848","","78.7402595094","","164.20231","","",""
"Greece","1849","","81.0722030928","","169.83555","","",""
"Greece","1850","","89.7258219845","","173.22278","","",""
"Greece","1851","","93.491566561","","214.24209","","",""
"Greece","1852","","111.0720331862","","182.64757","","",""
"Greece","1853","","102.9159150786","","202.08876","","",""
"Greece","1854","","118.8702128378","","213.56212","","",""
"Greece","1855","","109.9091348921","","226.51313","","",""
"Greece","1856","","151.5987365989","","200.05060","","",""
"Greece","1857","","145.799996845","","260.96726","","",""
"Greece","1858","","136.3949462974","","253.20471","","",""
"Greece","1859","","166.1762914095","","250.74126","","",""
"Greece","1860","","152.2057856788","","248.01704","","",""
"Greece","1861","","150.2812379884","","265.69728","","",""
"Greece","1862","","154.4902470443","","271.55828","","",""
"Greece","1863","","160.1337806032","","245.68778","","",""
"Greece","1864","","187.269130468","","269.80116","","",""
"Greece","1865","","182.2850072406","","291.84445","","",""
"Greece","1866","","194.2578871104","","281.82029","","",""
"Greece","1867","","227.0979088632","","301.13201","","",""
"Greece","1868","","217.6163288959","","308.20598","","",""
"Greece","1869","","193.0191530487","","307.55096","","",""
"Greece","1870","","230.4864375435","","302.64953","","",""
"Greece","1871","","263.4542909089","","294.96028","","",""
"Greece","1872","","221.4595801723","","291.04555","","",""
"Greece","1873","","239.5598084389","","348.43449","","",""
"Greece","1874","","256.4890735216","","334.92068","","",""
"Greece","1875","","256.0072115261","","325.87704","","",""
"Greece","1876","","246.8531089903","","329.56790","","",""
"Greece","1877","","280.1960865215","","314.54999","","",""
"Greece","1878","","287.893760631","","351.60687","","",""
"Greece","1879","","284.4724781409","","371.04182","","",""
"Greece","1880","","294.0153392046","","368.27067","","",""
"Greece","1881","","340.537236601","","423.26754","","",""
"Greece","1882","","378.4932446973","","455.58776","","",""
"Greece","1883","","402.0374195555","","458.98824","","",""
"Greece","1884","315.24078","409.5977708728","","521.66857","","",""
"Greece","1885","280.8","404.3703558164","","569.01466","","",""
"Greece","1886","283.5","427.8849772179","","550.07311","","",""
"Greece","1887","440.7","445.5525666546","","575.37298","","",""
"Greece","1888","617.72004","457.843916493","","594.95015","","",""
"Greece","1889","615.95","441.0118479928","","560.10657","","",""
"Greece","1890","738","463.7114984447","","536.99834","","",""
"Greece","1891","816.34608","506.0747747078","","475.33315","","",""
"Greece","1892","849.35148","530.1830427725","","503.47575","","",""
"Greece","1893","969.01519","550.345214433","","544.08353","","",""
